Tweet_count,Username,Text,Created At,Retweets,Likes
102,PuthiyathalaimuraiTV,"தவெக இரண்டாம் ஆண்டு தொடக்க விழா நிகழ்ச்சியின் உணவுப்பட்டியல்!

#TVK | #TVKVijay | #Vijay | #TamilagaVettriKazhagam | #TVKFirstAnniversary https://t.co/f2g7og9HYQ",Wed Feb 26 02:33:11 +0000 2025,102,438
103,தமிழக வெற்றிக் கழகம் (செய்திகள்),Always number 1…. #TVKForTN https://t.co/kRW33vyJDr,Fri Feb 21 11:43:23 +0000 2025,614,2237
104,TVK Vijay Trends,𝑻𝑨𝑴𝑰𝑳 𝑵𝑨𝑫𝑼 𝑰𝑺 𝑨 𝑳𝑨𝑵𝑫 𝑶𝑭 𝑺𝑬𝑳𝑭 𝑹𝑬𝑺𝑷𝑬𝑪𝑻                - Thalaivar @TVKVijayHQ 🎯🔥 https://t.co/sC7dTqjShu,Thu Feb 27 01:07:55 +0000 2025,437,1563
105,TVK IT Wing,"Thalapathy Vijay initiated the signature campaign against the New education policy by signing first and declaring ""Get Out. 

#இரண்டாம்_ஆண்டில்_தவெக @TVKVijayHQ

https://t.co/oMNVlr0JcI",Wed Feb 26 04:40:21 +0000 2025,188,604
106,Maridhas,What Bro - இது nonsense BRO.. #Vijay #TVK https://t.co/KufFcxJ47d,Wed Feb 26 11:09:55 +0000 2025,1213,4015
107,தமிழக வெற்றிக் கழகம் IT WING,#TVKForTN https://t.co/xmpnGKWTVh,Fri Feb 21 13:53:49 +0000 2025,309,1174
108,MAHI 𝕏,"வக்காளி இது எப்ப நடந்துச்சு 😂

What bro @Saattaidurai 😭😂😂

#TVK #Jananayagan

 https://t.co/JiIlowwDXD",Tue Feb 25 15:31:33 +0000 2025,299,807
109,தமிழச்சி TVK,"கும்பமேளா அற்றில் காசு போட்டால் புண்ணியம்! 🫢🫢

ஆனால் அடுத்த நாள் வருமானம்! வடகன்ஸ் எதுமே காரணம் இல்லாமல் செய்ய மாட்டார்கள்!

#tvk #tvkvijay #vijay https://t.co/nNO3r9gdoW",Thu Feb 27 11:31:25 +0000 2025,69,413
110,TVK Vijay Trends,"BJP அதிகாரத்தின் உச்சம் ❌

DMK ஆணவத்தின் உச்சம்❌

TVK மக்களின் உச்சம் ✅

உடையட்டும் உடையட்டும் விலங்குகள் உடையட்டும் முடிவெடு தமிழினமே..!!

தங்க மகனின் ஆட்சி அமையட்டும் தமிழகம் விடியட்டும்... #TVKForTN 🔥 https://t.co/2Odz8Ttecr",Fri Feb 21 08:22:33 +0000 2025,1444,3133
111,Sangeetha -TVK✨,"ஒரு மறத்தமிழனை  2026 ல் அரியணையில்  ஏற்றுவோம் 💪

#TVKForTN https://t.co/ilcm9PM4Rv",Fri Feb 21 07:00:19 +0000 2025,1131,1672
112,தமிழக வெற்றிக் கழகம் (செய்திகள்),#TVKforTN #TVKfor2026 https://t.co/AP0CThXcgA,Fri Feb 21 05:48:41 +0000 2025,1196,1980
113,TVK Vijay Trends,https://t.co/NGZQattLZF,Wed Feb 26 05:31:03 +0000 2025,177,1663
114,TVK Vijay Trends,"VIJAY is the Hope for Tamilnadu - @PrashantKishor 

#வெற்றித்_தலைவர்_விஜய் https://t.co/phSx2F9XIi",Wed Feb 26 06:49:08 +0000 2025,1155,4916
115,MovieClickz,"வெற்றி நிச்சயம்.... 

#TVK #TVKFirstAnniversary #TVKVijay‌ #Tvkvijayhq #TVKfor2026 https://t.co/aQrR8UfqwP",Wed Feb 26 08:47:55 +0000 2025,0,1
116,Galatta Media,"Soundararaja ✨இது அரசியல் கூட்டம் மாதிரி இல்ல..ரொம்ப Professional-ஆ இருக்காங்க🤩

#TVKForTN #TVKVijay #TVK #ThalapathyVijay #Soundararaja #Galatta https://t.co/7YFv6hde45",Wed Feb 26 05:27:28 +0000 2025,736,4761
117,𝕌𝕥𝕙𝕒𝕪𝕒,"Editing la paaka nalaa thaan iruku.....

But, content illayae.... கொள்கை, செயல்திட்டம் nu eathaachum irunthaal thaanae.....
#TVK
https://t.co/g7R1fXeAbk",Wed Feb 26 10:45:39 +0000 2025,0,2
118,TVK IT Wing,"✍️ 

#இரண்டாம்_ஆண்டில்_தவெக @TVKVijayHQ https://t.co/7vli1yv8DL",Wed Feb 26 04:37:45 +0000 2025,65,152
119,Gayathri TVK,"Good morning guys🤍
Happy Friday 😍🥰😘
@Actor_Amritha https://t.co/m43KioImGL",Fri Feb 28 01:55:51 +0000 2025,10,69
