Tweet_count,Username,Text,Created At,Retweets,Likes
23,BJP Tamilnadu,"கழிவறையிலும் தங்கள் ஊழல் கைவரிசையைக் காட்டிய @arivalayam அரசு! 

தமிழகத்தில் ஜனவரி 2022-இல் ₹3.18 ஆக இருந்த ஒரு பொது கழிவறையின் பராமரிப்பு செலவு, செப்டம்பர் 2022-இல் ₹363.9 ஆக உயர்வு அதாவது எட்டு மாத காலத்திற்குள் சுமார் 115 மடங்கு அதிகரித்துள்ளதாக வெளியாகியுள்ள செய்திகள், “ஒரு https://t.co/iPQnDIxmtw",Fri Feb 28 02:46:07 +0000 2025,273,464
24,nilavurasigan,"@mchellap @Ad_Tel_210168 , u can't fool Tamil Nadu people we are not bjp fellows   to believe fake agenda ,thsi is NEP , why should we study this stupid Hindi , if they teach foreign languages like French ,Japanese language we welcome ,we don't this silly hindhi language https://t.co/AeDcZNTiAr",Mon Feb 24 07:49:59 +0000 2025,0,5
25,P. Muruganantham Murugananthrram,"@narendramodi வருங்கால Tamil Nadu BJP CM Annamalai k அவர்களே 
🪷🚩🪷 https://t.co/xN8AHyaDw1",Tue Feb 25 04:12:47 +0000 2025,1,15
26,Sunny Raj,"During the Namakku Naame campaign in 2015, M.K. STALIN PROMISED TO MAKE URDU COMPULSORY in schools if DMK came to power.

But the same DMK opposes Hindi, Sanskrit, Telugu, Kannada &amp; Malayalam in Tamil Nadu!

Why this hypocrisy? https://t.co/bvakzDAvRq",Wed Feb 26 03:50:25 +0000 2025,2,5
27,News18,"DMK's student wing continues to protest over ""Hindi imposition""

""DMK fails to understand that Tamil Nadu is an integral of the country. They have always had a very separatist viewpoint"": BJP's @VinojBJP 

@toyasingh | #TamilNadu #NEP #HindiImposition #threelanguagepolicy https://t.co/sUiQAUAXIv",Fri Feb 28 05:00:15 +0000 2025,0,2
28,dD@$h,"Modi Govt is playing with fire by pushing Hindi as third language, with no logic, in states whose formation is based on language. We see some unrest and vandalism in Tamil Nadu now which may spread to other states. 

BJP to be blamed for this . 
 https://t.co/c2YmNPO0sk",Tue Feb 25 04:54:34 +0000 2025,2,25
29,Trends DMK,"We strongly condemn the Fascist BJP-Led Union Govt's Delimitations. 

It unfairly favours Northern states that Support the BJP &amp; harms Tamil Nadu's representation. 

This is against the principles of fair political representation for well-performed states.

#FairDelimitationForTN https://t.co/p4WtOUDWzl",Tue Feb 25 11:37:12 +0000 2025,81,79
30,Thoothukudi S.Joel,"Delimitation based on population? 
A convenient excuse by BJP to undermine Tamil Nadu's voice in Parliament. 
We won't be silenced. 

#FairDelimitationForTN 💪 https://t.co/oZMHUt8Rn0",Tue Feb 25 10:17:33 +0000 2025,153,193
31,News18 Tamil Nadu,"#JUSTIN மத்திய அரசு வேலை வாங்கித் தருவதாக ஆசை வார்த்தை கூறி பல கோடி ரூபாய் மோசடியில் ஈடுபட்ட பாஜக நிர்வாகி ஜெயராம்

#BJP #Jayaram #Fakejob #News18Tamilnadu | https://t.co/3v5L32pe7b https://t.co/8VITgsskRE",Wed Feb 19 06:36:27 +0000 2025,256,478
32,DMK NRI Wing,"Yet another day, yet another fake news from this serial liar. 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️

This edited image is nothing but a desperate attempt to spread misinformation and stoke tensions. You might get away with peddling lies elsewhere, but Tamil Nadu is not your playground.

BJP IT Cell’s false",Thu Feb 27 16:37:17 +0000 2025,179,575
33,BJP Tamilnadu,"முதல்வர் திரு. @mkstalin -னின் நேரடிக் கட்டுப்பாட்டில் இயங்கும் காவல்துறையினர் மீது, கொடும் குற்றவாளிகளுக்கு கடுகளவு கூட பயமில்லை என்பதன் வெளிப்பாடே இது. https://t.co/RzeKNxxZqm",Thu Feb 27 10:49:46 +0000 2025,139,295
34,BJP Tamilnadu,"உங்கள் @arivalayam அரசுக்கு, திராவிட மாடல் அரசு என்ற பெயரை விட ஸ்டிக்கர் மாடல் என்ற பெயரே பொருத்தமாக இருக்கும்.@mkstalin..! https://t.co/mOnTWLtZ9O",Tue Feb 25 10:02:50 +0000 2025,178,403
35,KR,"Amit shahs claims are same as the gutkha that Bandi Sanjay chews and spits . 

Amit shah claimed Telangana in 2022 
Amit shah claimed West Bengal in 2021 
Amit Shah claimed BJP will make huge strides in Tamil Nadu in 2021 
Amit Shah also claimed that NDAs doors are closed for TDP https://t.co/1974LIK1NM",Thu Feb 27 16:33:56 +0000 2025,6,23
36,Social Justice:சமூகநீதி,"For people who do not know Tamil Nadu politics and who are relying on the Godi media and BJP IT cell: 

BJP in Tamil Nadu is such a non-entity that:

* They have made a Governor resign, join the party and contest a MP Seat. 
* They have fielded a Union MoS, who got elected as a https://t.co/C60j5nmDrW",Thu Mar 21 13:26:46 +0000 2024,505,1421
