Tweet_count,Username,Text,Created At,Retweets,Likes,Category
69,Joe Vinil,will thalapathy vijay win the tamil nadu election in 2026,Thu Feb 27 18:15:58 +0000 2025,0,2,Tamil Nadu Elections 2026
70,Sara Syed,this is rss bjp desh drogh govts trying to win 2026 assembly elections in tamil nadu by migrating more north indians in tamil nadu,Thu Feb 20 18:12:18 +0000 2025,0,0,Tamil Nadu Elections 2026
71,George 🍿🎥,completes one year today i love how in this note cites two historic events in tamil nadu elections and tvks arrival to power in 2026 should mark the third one 1 cn annadurai stormed to power in 1967 in the very first win for a regional party,Sun Feb 02 04:09:28 +0000 2025,27,83,Tamil Nadu Elections 2026
72,CONTROL,vijay had launched tvk in february 2024vijay stated that tvk would not be contesting the 2024 lok sabha elections opting instead to focus on the tamil nadu assembly elections in 2026 tamil nadus actor will be its chief ministerial candidate for the 2026,Mon Feb 17 14:04:41 +0000 2025,0,0,Tamil Nadu Elections 2026
73,Syed,dhoni is most popular bihari in tamil nadu for making csk wins if i help tvk win in 2026 election i believe i would become the most popular bihari in tamil nadu prashanth kishore,Wed Feb 26 06:58:26 +0000 2025,45,203,Tamil Nadu Elections 2026
74,TIES,prashant kishor attended tvks first anniversary in mahabalipuram confirming his role as special adviser to actorturnedpolitician vijays party he declined to sign antidmkbjp get out poster that vijay endorsed partnership targets 2026 tamil nadu elections,Wed Feb 26 10:59:18 +0000 2025,3,4,Tamil Nadu Elections 2026
75,Prof. (Dr.) Aseervatham Achary,the electoral performance of bjp in tamil nadu has improved much over each election bjp will do its best ever performance in the forthcoming assembly elections in 2026 the political calculation of dmk for a repeat come back will be proven wrong this time my interview,Sun Sep 08 14:52:36 +0000 2024,2,0,Tamil Nadu Elections 2026
76,Political Views,will bjp form an alliance with admk for the 2026 tamil nadu elections just like it did with tdp and jdu at the last minute 2024 ls if an alliance is formed how many seats should bjp contest one thing is for sure if admk behaves the same way it did in 2019 amp 2021,Fri Feb 21 06:21:45 +0000 2025,22,145,Tamil Nadu Elections 2026
77,Sara Syed,rss murthy and gaikwad are planning to dismantling off dmk govt from tamil nadu in assembly elections 2026,Sat Jan 11 17:08:04 +0000 2025,0,0,Tamil Nadu Elections 2026
78,मैं हूँ Sanatani 🇮🇳 🚩🚩,we will give a befitting reply to dmk in the 2026 assembly elections k annamalai president bjp tamil nadu,Wed Feb 26 11:38:00 +0000 2025,5,36,Tamil Nadu Elections 2026
79,Times Algebra,the most interesting and unpredictable election in the next 15 years could be the tamil nadu election in 2026 if the opposition in the state unites assam bengal bihar kerala elections are predictable,Sun Jan 05 21:12:27 +0000 2025,121,1021,Tamil Nadu Elections 2026
80,Ambassador,tamil nadu bjp leader annamalai condemned the removal of the collector from the jallikattu stage he stated that the people of tamil nadu would make their decision in the 2026 elections regarding the current governments actions,Fri Jan 17 08:08:15 +0000 2025,0,0,Tamil Nadu Elections 2026
81,Political Views,times nowetg survey predicts that bjp can win up to 6 seats in tamil nadu annamalai is doing wonders for bjp the 2024 lok sabha elections will lay a strong foundation for bjp for the 2026 tamil nadu assembly elections bjp 26 dmk 2122 inc 57 admk 13 oth,Thu Apr 04 18:08:22 +0000 2024,11,106,Tamil Nadu Elections 2026
82,ArunmozhiVarman 🇮🇳 🕉🚩🛕🎻🎧🎙🎶,bjp might officially declare thiru k annamalai avl as its cm candidate for 2026 tamil nadu assembly elections,Sun Oct 01 13:57:52 +0000 2023,86,532,Tamil Nadu Elections 2026
83,NewsWire 🇱🇰,i left my career at its peak and that high salary to stand before you as your vijay placing my trust in all of you indian actor vijay at his first political meeting announcing his intention to contest in the 2026 tamil nadu election,Sun Oct 27 14:43:30 +0000 2024,599,2548,Tamil Nadu Elections 2026
84,AKR,we are an emerging primary political force in tamil nadu politics with a firm commitment to create history in the upcoming 2026 assembly elections of tamil nadu like 1967 and 1977 assembly elections of our state ்டாம்_ஆண்டில்_தவெக ைவர்விஜய்,Wed Feb 26 12:08:42 +0000 2025,0,2,Tamil Nadu Elections 2026
85,நீதிமான்,in the 2026 assembly elections tamil nadu people will throw dmk in the trash இந்த தேர்தலில் திமுக பெரிய தோல்வியை சந்திக்கும்,Sun Jan 12 04:12:43 +0000 2025,0,1,Tamil Nadu Elections 2026
86,Telugu Funda,actor vijays political party tamilaga vettri kazhagam tvk is experiencing a rise in popularity ahead of the 2026 tamil nadu assembly elections various surveys suggest tvks vote share is between 1020 with some indicating potential for further growth this surge is,Thu Feb 13 07:04:12 +0000 2025,0,0,Tamil Nadu Elections 2026
87,Ambassador,former minister sellur raju expressed confidence that the aiadmk will secure a resounding victory in the 2026 tamil nadu assembly elections he shared his views during a press conference in madurai today,Sat Jan 18 02:54:28 +0000 2025,0,0,Tamil Nadu Elections 2026
88,QPZM Media,andhra pradesh deputy cm pawan kalyan will start sanatan dharma tour from tomorrow visiting temples in kerala and tamil nadu for four days with elections in 2026 and bjps key rivals strong in both states this move hints at a strategic hindutva push,Tue Feb 11 12:03:38 +0000 2025,0,0,Tamil Nadu Elections 2026
89,Karthik,code word accepted annan will become cm the 2011 election history will repeat in 2026 i wish for this to happendmk needs to be completely decimated from the assembly for good that will be a fitting lesson for the sticker model amp ோப்பா,Wed Feb 26 16:13:07 +0000 2025,1,6,Tamil Nadu Elections 2026
90,Sara Syed,this is rss bjp desh drogh govts election malpractices schemes to win the assembly elections in 2026 theyre going to migrate more and more rss bjp sanghis in tamil nadu to increase their vote sharing in assembly elections,Thu Feb 20 18:17:01 +0000 2025,0,0,Tamil Nadu Elections 2026
91,E.Devasenapathi ,bjp is likely to announce ji as bjps official cm candidate for 2026 tamil nadu assembly elections,Sun Oct 01 15:03:27 +0000 2023,0,5,Tamil Nadu Elections 2026
92,Madhu,tamil actor amp tvk leader vijay receives z security from the home ministry based on intelligence inputs about potential threats 11 security personnel including commandos and police staff will be assigned in shifts with tamil nadu elections set for 2026 vijay continues to,Fri Feb 14 09:03:24 +0000 2025,1,4,Tamil Nadu Elections 2026
93,TimesOfCinema,tamil nadu muslim league president mustafa expressed his support for announcement that tvk will join the alliance in 2026 assembly elections,Tue Feb 18 07:50:04 +0000 2025,0,2,Tamil Nadu Elections 2026
94,Chanakyaa English,erode east bypoll 2025 dmks chandhirakumar takes a strong lead with over 13000 votes will this be a preview of the 2026 tamil nadu elections,Sat Feb 08 04:37:26 +0000 2025,1,0,Tamil Nadu Elections 2026
95,M.Vinoth 🇮🇳 2026 BJP4TamilNadu,dear chennai votersfriends as we approach the upcoming lok sabha elections i urge you to consider the need for change from the current political landscape governed by dmk and admk in tamil nadu whether you reside in north chennai central chennai or south chennai your,Fri Mar 22 05:06:56 +0000 2024,12,35,Tamil Nadu Elections 2026
96,IndiaToday,tamil nadu bjp state president said that his party will have an ideological fight with actorpolitician in the 2026 state assembly elections agreeing that vijays popularity is massive he also pointed out that the ruling dmk were formidable as well,Wed Feb 19 07:00:32 +0000 2025,2,20,Tamil Nadu Elections 2026
