Tweet_count,Username,Text,Created At,Retweets,Likes
26,Gossip/Chugli Window,DMK has gone crazy https://t.co/w1HiGkpHV2,Fri Feb 28 05:25:28 +0000 2025,8,10
27,IndiaToday,"DMK student wing hits the streets 
More on this by @anaghakesav 

#ITVideo #IndiasAgenda #DMK #Protest #Chennai | (@snehamordani) https://t.co/IkOjVg8533",Fri Feb 28 05:45:36 +0000 2025,1,3
28,DMK Updates,Stylish CM @mkstalin 😎🔥 https://t.co/tBRBWMjkfq,Tue Feb 25 07:18:38 +0000 2025,206,1112
29,Rishi Bagree,"The US government has accused the Adani Group of bribing the following state governments with $250 million in 2021-22.

👉Congress Govt in Chhattisgarh
👉BJD Govt in Odisha
👉DMK Govt in Tamil Nadu 
👉YSRCP Govt in Andhra Pradesh 

So Congress took bribes to give work to Adani ? https://t.co/ugREJgV8Un",Thu Nov 21 07:14:23 +0000 2024,2468,6516
30,Karthik Balachandran,@SaktiGounder265 How is ADMK different from DMK in ideology ?,Thu Dec 12 06:55:10 +0000 2024,0,41
31,DMK Updates,"This is Very very Disgusting 😠
அப்பழுக்கற்ற கீழ்த்தரமான மனிதன் சீமான் 

இது சீமான் சொன்னது 
படித்து பாருங்கள் https://t.co/9hgHaAXi3r",Fri Feb 28 05:51:58 +0000 2025,10,13
32,Suresh samy,"Stalin is dangerous than Karunanidhi 
Udhaystalin is dangerous than stalin 
ஒத்த டேய் Thalapathy Vijay is more dangerous than All DMK ADMK leader 
Soon he will reveal his real Face 🔥🔥🔥 https://t.co/j3XoX3BnU7",Thu Feb 27 17:48:36 +0000 2025,94,334
33,Padma Priya,"அடங்க மறு, திமிறி எழு #TamilNadu 🔥

@mkstalin #FairDelimitationForTN #DMK #StateRights #delimitation #BJPFails https://t.co/HUjYIyzEs6",Tue Feb 25 12:35:46 +0000 2025,1627,4991
34,News7 Tamil,"“அப்படியே அறிந்துகொள்ளட்டும்!”

https://t.co/WciCN2SiwX | @mkstalin | @CMOTamilnadu | #MKStalin | #CMOTamilNadu | #DMK | #TNGovt | #Hindi | #Tamil | #BJP | #News7Tamil | #News7TamilUpdates https://t.co/pym8igfir2",Wed Feb 26 06:09:02 +0000 2025,295,984
35,DMK IT WING,"முதல்வர் மருந்தகத்தை திறந்து வைத்த திராவிட நாயகர்!🌄

மாண்புமிகு முதலமைச்சர் திரு @mkstalin அவர்கள் சென்னை தியாகராய நகரில் முதல்வர் மருந்தகத்தை திறந்து வைத்து விற்பனையை தொடங்கி வைத்தார்!

#MudhalvarMarundhagam https://t.co/uPr8bbRnDj",Mon Feb 24 06:31:15 +0000 2025,331,480
36,Tamil Ka.Amutharasan,"சிறப்பான சம்பவம்🖤♥️🔥
#StopHindiImposition https://t.co/ebAUQdFLZ0",Mon Feb 24 07:24:41 +0000 2025,1617,8431
37,DMK IT WING,"மக்கள் தொகை கட்டுபாட்டில் சிறப்பாக செயலாற்றிய தமிழ்நாட்டுக்கு ஒன்றிய பாஜக அரசு தர முயற்சிக்கும் வெகுமதியை காணுங்கள்.. நம் மாநில பிரதிநிதித்துவதை குறைக்க திட்டமிடுவது சரியா?

#FairDelimitationForTN https://t.co/MqjFfRFzzZ",Tue Feb 25 12:17:59 +0000 2025,404,487
