Tweet_count,Username,Text,Created At,Retweets,Likes
23,Tamil Nadu Congress Committee,"மனிதநேய மக்கள் கட்சி சார்பாக ஒன்றிய பா.ஜ.க. அரசு கொண்டு வந்துள்ள வக்ப் திருத்த சட்டத்தை எதிர்த்து மாபெரும் கண்டன ஆர்ப்பாட்டம் இன்று (27.2.2025) வியாழக்கிழமை மாலை 4.30 மணியளவில் சென்னை நுங்கம்பாக்கம் வள்ளுவர் கோட்டத்தில் பேராசிரியர் எம்.எச். ஜவாஹிருல்லா, எம்.எல்.ஏ. தலைமையில் https://t.co/Y7Uo4N5h4Q",Thu Feb 27 10:47:18 +0000 2025,7,13
24,Tamil Nadu Congress Committee,https://t.co/tVSQvhI3qF,Fri Feb 21 15:21:21 +0000 2025,10,15
25,Tamil Nadu Congress Committee,"உரக்கச் சொல்வோம்...

அம்பேத்கர் 
அம்பேத்கர் 
அம்பேத்கர்

#GoBackAmitShah https://t.co/vqJcTrkoVj",Tue Feb 25 09:26:02 +0000 2025,140,238
26,Press Trust of India,"VIDEO | On row over the three-language formula under the National Education Policy (NEP), Congress leader Jothimani (@jothims) says: ""In Tamil Nadu, irrespective of the party in power, we are following dual-language policy, which is Tamil and English. Because of this policy, we https://t.co/FrBv3bC9XU",Mon Feb 17 11:50:18 +0000 2025,13,37
27,Tamil Nadu Congress Committee,https://t.co/ZchZdiiFOF,Sat Feb 15 15:22:45 +0000 2025,17,21
28,Congress,"Today the state of Tamil Nadu is being controlled from Delhi, the Chief Minister is being controlled from Delhi and the ones suffering most are the Tamil people. https://t.co/BFYo5eJfyO",Mon Mar 29 14:30:01 +0000 2021,488,1431
29,Tamil Nadu Congress Committee,"தமிழ் எங்கள் உயிர் என்பதாலே - வெல்லும் தரமுண்டு தமிழருக்குப் புவிமேலே.  - பாரதிதாசன்

தாய்மொழியை போற்றும் அனைவருக்கும் உலக தாய் மொழி தின வாழ்த்துக்கள்.

#தமிழ்_வாழ்க https://t.co/yUa05X8hEB",Fri Feb 21 06:00:54 +0000 2025,95,136
30,Tamil Nadu Congress Committee,"ஒன்றிய பா.ஜ.க. அரசு தமிழ்நாட்டின் வளர்ச்சி திட்டங்களுக்கு நிதி வழங்க மறுப்பதோடு புதிய கல்விக்கொள்கையை ஏற்றுக்கொள்ள வேண்டும் என்று கட்டாயப்படுத்தவதன் மூலம் மொழித் திணிக்கப்படுவதை கண்டித்து, இந்தியா கூட்டணி தலைவர்கள் பங்கேற்ற மாபெரும் கண்டன ஆர்ப்பாட்டம்.

தமிழ்நாடு காங்கிரஸ் https://t.co/JO0FL2Ki5y",Tue Feb 18 13:24:13 +0000 2025,64,98
31,Vikram Pratap Singh,"NDA now in 21 States.

Hopefully Bengal &amp; Tamil Nadu will add to kitty soon.

Karnataka is sure .
Himachal is sure . 

Not far for Congress Mukt Bharat .",Sat Feb 08 15:36:43 +0000 2025,2359,17564
32,Selvaperunthagai K,"Heartfelt congratulations to Respected Shri Girish Chodankar ji on appointment as the new Incharge of Indian National Congress - Tamil Nadu &amp; Pondicherry. With your guidance and direction, we will strengthen the party in  Tamil Nadu as per the wishes of our visionary leader Shri https://t.co/PAIKiOmzn2",Sat Feb 15 08:40:53 +0000 2025,65,176
33,Tamil Nadu Congress Committee,தமிழ்நாடு காங்கிரஸ் கமிட்டி தலைவர் திரு கு செல்வப்பெருந்தகை MLA அவர்கள் பத்திரிகையாளர்கள் சந்திப்பு https://t.co/0DxkngKooo,Sat Feb 22 09:47:58 +0000 2025,67,109
34,News18 Tamil Nadu,"#JUSTIN அமெரிக்காவில் இருந்து அழைத்து வரப்படும் இந்தியர்களுக்கு கைவிலங்கு உண்டா? கால்கள் கட்டப்பட்டிருக்குமா? - காங்கிரஸ் மூத்த தலைவர் பா. சிதம்பரம் 
#congress #america #amristar #indians #News18Tamilnadu | https://t.co/3v5L32pe7b https://t.co/MH7TT1nuUq",Sat Feb 15 04:19:32 +0000 2025,1,13
35,Tamil Nadu Congress Committee,"உள்துறை அமைச்சர் அமித்ஷாவுக்கு எதிராக கருப்பு கொடி ஏந்தி மாபெரும் கண்டன ஆர்ப்பாட்டம். 

#GobackAmithShah https://t.co/J6PCVXgILk",Tue Feb 25 02:29:30 +0000 2025,158,293
36,BRADDY,The way Hit Job By Few Pro Congress Journalists on Sadguru is being taking place on X and looking at the Trio Together some major invisible Political developments in Tamil Nadu is taking place which has Single handedly Rattled the Dravidian Political Lobbies and the Missionaries. https://t.co/QmRFSDV7Qh,Wed Feb 26 17:40:50 +0000 2025,1,27
37,Tamil Nadu Congress Committee,"தமிழகத்தில் தனியார் பள்ளிகளில் படிக்கும் 56 லட்சம் மாணவர்களில் குறைந்தது 30 லட்சம் பேர் மும்மொழி திட்டத்தின் மூலம் இந்தி படிக்கும் போது, தமிழக அரசு பள்ளிகளில் படிக்கும் 52 லட்சம் மாணவர்களுக்கு அந்த வாய்ப்பு மறுக்கப்படுவது ஏன் ? என்று அண்ணாமலை ஆதாரமற்ற குற்றச்சாட்டுகளை https://t.co/1AkeTWR95P",Wed Feb 19 10:01:33 +0000 2025,27,27
38,K.Annamalai,"Seems like the parties in the I.N.D.I. Alliance have taken a collective resolution to expose the Congress party. 

DMK Minister Thiru Raja Kannappan says the Congress party is run only to seek seats during elections. Congress party in TN has more leaders than cadres and has https://t.co/a3ZU9njKO1",Sat Jan 27 09:44:11 +0000 2024,2274,7254
