Tweet_count,Username,Text,Created At,Retweets,Likes
13,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"வாய்க்கால் சீரமைப்பு, கழிவுநீர் மற்றும் குப்பைகளை அகற்றக் கோரி அதிகாரிகளிடம் மனு வழங்கிய மக்கள் நீதி மய்யம் கட்சியினர்.

மதுரை மாடக்குளம் கண்மாயில் இருந்து முத்துப்பட்டி கண்மாய்க்குச் செல்லும் வரத்து வாய்க்கால்களில் தேங்கியிருக்கும் கழிவுநீர் மற்றும் குப்பைகளையும் அகற்றி, https://t.co/72e1ty3y9k",Wed Feb 19 11:07:53 +0000 2025,75,146
14,Mohammed Zabiullah,"நற்பணி நாயகன்

மக்கள் நீதி மய்யம்

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/oK1ldzgjzD",Wed Feb 26 13:11:06 +0000 2025,4,10
15,ℝ𝕒𝕞𝕒𝕔𝕙𝕒𝕟𝕕𝕣𝕒𝕟 (𝕄ℕ𝕄) 𝕠𝕗𝕗𝕚𝕔𝕚𝕒𝕝,"8 ஆம் ஆண்டில் #மக்கள்நீதிமய்யம் ❤️🤝

#KamalHaasan𓃵
#MakkalNeedhiMaiam 
#8ம்ஆண்டில்_மய்யம்
#MakkalNeedhiMaiam_8thyear https://t.co/5VVUuabCej",Thu Feb 20 02:43:14 +0000 2025,29,82
16,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கட்சியின் 8ம் ஆண்டு துவக்கத்தை முன்னிட்டு தலைவர் திரு. @ikamalhaasan அவர்களிடம், காஞ்சிபுரம் மண்டலச் செயலாளர்  திரு. @SKPBGopinath அவர்களும், நம்மவர் தொழிற்சங்கப் பேரவை மாநில ஒருங்கிணைப்பாளர் திரு. @ChokkarMNM அவர்களும் கட்சி வளர்ச்சி நிதி அளித்தனர். https://t.co/yV5Xb6zPv2",Thu Feb 20 13:25:42 +0000 2025,130,347
17,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"இன்று மக்கள் நீதி மய்யம் கட்சியின் தலைவர் திரு. @ikamalhaasan அவர்களை, இந்திய கம்யூனிஸ்ட் கட்சியின் தமிழ்நாடு மாநிலச் செயலாளர் திரு. இரா.முத்தரசன் அவர்கள், தலைவர் அலுவலகத்தில் சந்தித்தார். வெளிநாடு சென்று திரும்பிய தலைவர் திரு.கமல் ஹாசன் அவர்களை, திரு. இரா.முத்தரசன் அவர்கள் https://t.co/7QowJVZy99",Tue Feb 18 10:45:57 +0000 2025,147,313
18,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் சார்பில் பொதுமக்களுக்கான சேவை முகாம்.

மக்கள் நீதி மய்யம் தலைவர் திரு. @ikamalhaasan அவர்களின் வழிகாட்டுதலின்படி, எழும்பூர் தொகுதியில் பொதுமக்களுக்கான சேவை முகாம் நேற்று சிறப்பாக நடைபெற்றது.

சென்னை மாநகராட்சி 99-வது வார்டுக்கு உட்பட்ட கீழ்ப்பாக்கம் சாஸ்திரி https://t.co/PcKwqrnPES",Sun Feb 09 12:20:34 +0000 2025,116,222
19,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"ஏழு ஆண்டுகள் நிறைவு செய்து எட்டாம் ஆண்டில் அடியெடுத்து வைக்கிறது மக்கள் நீதி மய்யம்.

புதிய சிந்தனை, புதிய செயல்திட்டம் என்ற நோக்கோடு  நம் தலைவர்  திரு. @ikamalhaasan அவர்களால் ஆரம்பிக்கப்பட்ட கட்சி, தொடர்ந்து தன் நோக்கில் உத்வேகத்துடன் செயலாற்ற உறுதி கொள்வோம். 

#KamalHaasan https://t.co/witTCeh0EO",Fri Feb 21 07:19:53 +0000 2025,144,323
20,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"எட்டாம் ஆண்டில் மக்கள் நீதி மய்யம்,
எட்டும் தூரத்தில் வெற்றிக்கோட்டை!

நாடாளுமன்றம், சட்டமன்றத்தில் நமது குரல் ஒலிக்கும்.

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/aA7pb260nm",Sun Feb 23 10:30:44 +0000 2025,79,177
21,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"இன்னொரு மொழி என்பது சுமை!

விவாதிப்போம்! விழித்தெழுவோம்!

ஞாயிறு (23.02.2025) இரவு 7.30 மணி அளவில்...

https://t.co/aaqNq7MrVZ 

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/mU6aqqO0uk",Sat Feb 22 14:46:40 +0000 2025,71,143
22,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யத்தின் குரல் இவ்வாண்டு  நாடாளுமன்றத்தில் ஒலிக்கும்! அடுத்தாண்டு சட்டமன்றத்தில் ஒலிக்கும்!

8-ம் ஆண்டு தொடக்க விழாவில் தலைவர் திரு. @ikamalhaasan அவர்களின் எழுச்சியுரை!

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/1pgjtBAaz9",Sat Feb 22 05:58:43 +0000 2025,119,229
23,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் தலைவர் திரு. @ikamalhaasan அவர்களை, அவரது இல்லத்தில் இன்று மாண்புமிகு துணை முதல்வர் திரு. @Udhaystalin அவர்கள் சந்தித்தார்.

#KamalHaasan
#MakkalNeedhiMaiam https://t.co/x4T9RLAB9c",Thu Feb 13 12:09:14 +0000 2025,118,259
24,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"தமிழகத்தின் இருமொழி கொள்கையா?
ஒன்றியத்தின் மும்மொழி கொள்கையா?

விவாதிப்போம்! விழித்தெழுவோம்!

ஞாயிறு (23.02.2025) இரவு 7.30 மணி அளவில்...

https://t.co/aaqNq7MrVZ 

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/zY2GzwAp5q",Sat Feb 22 09:36:43 +0000 2025,59,103
25,ஜெயபிரசாத்,"#KamalHaasan 
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு
@ikamalhaasan https://t.co/6fYL7Moa8n",Thu Feb 20 16:09:48 +0000 2025,108,604
26,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் 8-வது ஆண்டு தொடக்க விழா, மதுரையில் கோலாகல கொண்டாட்டம்.
 
 மக்கள் நீதி மய்யம் கட்சித் தலைவர் திரு. @ikamalhaasan அவர்களது வழிகாட்டுதல்படி, கட்சியின் 8-ம் ஆண்டு தொடக்க விழா மதுரையில் கோலாகலமாக கொண்டாடப்பட்டது.

மதுரை மேற்கு தொகுதிக்கு உட்பட்ட பகுதிகளில், https://t.co/jTWV4IQVhs",Mon Feb 24 12:23:12 +0000 2025,71,138
27,Gopi Siva kumar,"அன்பார்ந்த நண்பர்களே கடந்த பத்து நாட்களாக இடைவிடாத நம் மய்யத்தின் 8-ஆம் ஆண்டு விழா நிகழ்வை மிகவும் சீரும் சிறப்புமாக நடைபெற இடைவிடாத உழைப்பை கொண்டு உருவாக்கி மிகப்பெரிய அளவில் நடைபெற்ற விழாவின் பிளக்ஸ்கள்

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/9s9jg9FtZc",Tue Feb 25 13:44:16 +0000 2025,26,40
28,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"அருப்புக்கோட்டை கல்லூரணி கிராமத்தில் 'நம்மவர் படிப்பகம்' திறப்பு விழா. 

ஒவ்வொரு ஊரிலும் படிப்பகங்களை தொடங்க வேண்டும் என்ற மக்கள் நீதி மய்யம் கட்சித் தலைவர் திரு. @ikamalhaasan அவர்களது சிந்தனைக்கு செயல்வடிவம் கொடுக்கும் வகையில், விருதுநகர் மாவட்டம் அருப்புக்கோட்டை அருகேயுள்ள https://t.co/WOpThzJLTP",Thu Jan 30 15:59:43 +0000 2025,108,198
